Date,Effort,Developers,Milestones
21st Feb, 1, dl5215, -
23rd Feb, 4, oll16, Functional tokens
25th Feb, 3, oll16, Expression Parsing
26th Feb, 3, dl5215, Expression Parsing
27th Feb, 4, oll16, Statement Parsing
28th Feb, 4, oll16, Declaration Parsing
1st-4th March, 4, oll16, Declaration Parsing
5th March, 3, oll16, C -> Python (complete)
6th March, 3, dl5215, Debug Python Translation
7th March, 2, dl5215, Debug Python Translation
8-11th March, 3, both, Codegen Brainstorming
12th March, 3, dl5215, Debug Python Translation
12-16th March, 5, oll16, Codegen
17-19th March, 3, dl5215, Codegen
19th March, 2, oll16, Write Basic Testbench
20th March, 3, dl5215, Write Basic Testbench
